[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 182.6206233387268, Score, 35.5,sDepthFirstSearchLowCost,Cost, 581.2289225068663, Score, -51.33333333333333, PathLength, 153.0,sLeastConnectedFirst,Cost, 300.86928681752966, Score, -19.666666666666664, PathLength, 58.0,
hRandomSet,Cost, 101.34802822201752, Score, 21.333333333333336,sDepthFirstSearchLowCost,Cost, 229.1485185014277, Score, -26.666666666666668, PathLength, 79.0,sLeastConnectedFirst,Cost, 245.7631572225021, Score, -16.0, PathLength, 47.0,
hRandomSet,Cost, 267.67462652543617, Score, 30.5,sDepthFirstSearchLowCost,Cost, 273.63433646574333, Score, -31.666666666666664, PathLength, 94.0,sLeastConnectedFirst,Cost, 392.6972253887177, Score, -29.333333333333332, PathLength, 87.0,
hRandomSet,Cost, 265.360322980429, Score, 28.166666666666664,sDepthFirstSearchLowCost,Cost, 303.33289350275754, Score, -33.33333333333333, PathLength, 99.0,sLeastConnectedFirst,Cost, 361.68418673935514, Score, -23.0, PathLength, 68.0,
hRandomSet,Cost, 274.4869188290751, Score, 29.833333333333336,sDepthFirstSearchLowCost,Cost, 349.75638783459584, Score, -37.333333333333336, PathLength, 111.0,sLeastConnectedFirst,Cost, 302.0692950253756, Score, -22.333333333333332, PathLength, 66.0,
hMinimumConnectivity,Cost, 13644.19238699853, Score, 30.666666666666664,sDepthFirstSearchLowCost,Cost, 519.7918613257362, Score, -44.666666666666664, PathLength, 133.0,sLeastConnectedFirst,Cost, 237.76671039845212, Score, -16.666666666666664, PathLength, 49.0,
hMinimumConnectivity,Cost, 3128.072051302352, Score, 45.5,sDepthFirstSearchLowCost,Cost, 665.4405810860072, Score, -62.33333333333333, PathLength, 186.0,sLeastConnectedFirst,Cost, 429.82101517141365, Score, -28.666666666666668, PathLength, 85.0,
hRandomSet,Cost, 176.1924738841668, Score, 27.666666666666668,sDepthFirstSearchLowCost,Cost, 210.60716065250793, Score, -28.000000000000004, PathLength, 83.0,sLeastConnectedFirst,Cost, 370.8916018881049, Score, -27.333333333333332, PathLength, 81.0,
hMinimumConnectivity,Cost, 16705.159035178905, Score, 53.5,sDepthFirstSearchLowCost,Cost, 556.7808273179747, Score, -62.33333333333333, PathLength, 186.0,sLeastConnectedFirst,Cost, 626.3800724649142, Score, -44.666666666666664, PathLength, 133.0,
hMinimumConnectivity,Cost, 17383.210653756567, Score, 36.33333333333333,sDepthFirstSearchLowCost,Cost, 461.85749645540324, Score, -45.666666666666664, PathLength, 136.0,sLeastConnectedFirst,Cost, 407.77631149835764, Score, -27.0, PathLength, 80.0,
hRandomSet,Cost, 187.1166592368939, Score, 34.833333333333336,sDepthFirstSearchLowCost,Cost, 467.20685326946926, Score, -43.0, PathLength, 128.0,sLeastConnectedFirst,Cost, 427.4367832833289, Score, -26.666666666666668, PathLength, 79.0,
hRandomSet,Cost, 151.51785121720616, Score, 30.166666666666664,sDepthFirstSearchLowCost,Cost, 309.00063628496133, Score, -31.333333333333336, PathLength, 93.0,sLeastConnectedFirst,Cost, 457.04680203325313, Score, -28.999999999999996, PathLength, 86.0,
hRandomSet,Cost, 142.82346787253593, Score, 28.333333333333332,sDepthFirstSearchLowCost,Cost, 206.54857927846845, Score, -26.0, PathLength, 77.0,sLeastConnectedFirst,Cost, 491.90251653394216, Score, -30.666666666666664, PathLength, 91.0,
hRandomSet,Cost, 184.0012934411214, Score, 26.0,sDepthFirstSearchLowCost,Cost, 189.15501330785565, Score, -24.666666666666668, PathLength, 73.0,sLeastConnectedFirst,Cost, 387.1911743345966, Score, -27.333333333333332, PathLength, 81.0,
hRandomSet,Cost, 354.4763405143951, Score, 34.0,sDepthFirstSearchLowCost,Cost, 229.0631333681385, Score, -30.0, PathLength, 89.0,sLeastConnectedFirst,Cost, 580.4046755479824, Score, -38.0, PathLength, 113.0,
hMinimumConnectivity,Cost, 21777.331690885236, Score, 34.83333333333333,sDepthFirstSearchLowCost,Cost, 368.5987328123393, Score, -44.0, PathLength, 131.0,sLeastConnectedFirst,Cost, 349.7159235413123, Score, -25.666666666666664, PathLength, 76.0,
hMinimumConnectivity,Cost, 7172.744688541913, Score, 32.666666666666664,sDepthFirstSearchLowCost,Cost, 331.44012786398497, Score, -36.0, PathLength, 107.0,sLeastConnectedFirst,Cost, 339.2950120464812, Score, -29.333333333333332, PathLength, 87.0,
hMinimumConnectivity,Cost, 20323.648647109603, Score, 43.0,sDepthFirstSearchLowCost,Cost, 654.7149584605993, Score, -60.66666666666667, PathLength, 181.0,sLeastConnectedFirst,Cost, 438.3417544654882, Score, -25.333333333333336, PathLength, 75.0,
hRandomSet,Cost, 314.59311754127936, Score, 31.66666666666667,sDepthFirstSearchLowCost,Cost, 294.30740508582926, Score, -35.66666666666667, PathLength, 106.0,sLeastConnectedFirst,Cost, 433.3493760262737, Score, -27.666666666666668, PathLength, 82.0,
hMinimumConnectivity,Cost, 9807.402839477592, Score, 46.0,sDepthFirstSearchLowCost,Cost, 558.4222080167607, Score, -57.99999999999999, PathLength, 173.0,sLeastConnectedFirst,Cost, 513.0654025448496, Score, -34.0, PathLength, 101.0,
hRandomSet,Cost, 159.6969457292955, Score, 20.0,sDepthFirstSearchLowCost,Cost, 93.47856870058372, Score, -16.666666666666664, PathLength, 49.0,sLeastConnectedFirst,Cost, 317.00086552670206, Score, -23.333333333333332, PathLength, 69.0,
hMinimumConnectivity,Cost, 23760.514107305386, Score, 41.666666666666664,sDepthFirstSearchLowCost,Cost, 547.9095239876638, Score, -54.0, PathLength, 161.0,sLeastConnectedFirst,Cost, 398.8661306040959, Score, -29.333333333333332, PathLength, 87.0,
hRandomSet,Cost, 150.11252497991444, Score, 29.166666666666664,sDepthFirstSearchLowCost,Cost, 381.8375994950982, Score, -37.666666666666664, PathLength, 112.0,sLeastConnectedFirst,Cost, 302.7569651857673, Score, -20.666666666666668, PathLength, 61.0,
