[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 125.0832129287923, Score, 40.5,sDepthFirstSearchLowCost,Cost, 300.5333250065999, Score, -34.333333333333336, PathLength, 102.0,sMostConnectedFirst,Cost, 765.0939253870347, Score, -46.666666666666664, PathLength, 139.0,
hMinimumConnectivity,Cost, 17173.394374097308, Score, 42.66666666666667,sDepthFirstSearchLowCost,Cost, 295.73529300948803, Score, -36.0, PathLength, 107.0,sMostConnectedFirst,Cost, 706.6515233370454, Score, -49.333333333333336, PathLength, 147.0,
hRandomSet,Cost, 208.97984679958387, Score, 34.5,sDepthFirstSearchLowCost,Cost, 214.24978168463193, Score, -26.666666666666668, PathLength, 79.0,sMostConnectedFirst,Cost, 618.6284563480776, Score, -42.333333333333336, PathLength, 126.0,
hMinimumConnectivity,Cost, 14236.443712383234, Score, 143.5,sDepthFirstSearchLowCost,Cost, 640.8802521146296, Score, -61.0, PathLength, 182.0,sMostConnectedFirst,Cost, 3444.8244985156384, Score, -225.99999999999997, PathLength, 677.0,
hMinimumConnectivity,Cost, 19338.213348901474, Score, 104.66666666666666,sDepthFirstSearchLowCost,Cost, 644.6155481942168, Score, -63.33333333333333, PathLength, 189.0,sMostConnectedFirst,Cost, 2105.8559323880913, Score, -146.0, PathLength, 437.0,
hMinimumConnectivity,Cost, 15292.616175245143, Score, 56.666666666666664,sDepthFirstSearchLowCost,Cost, 578.590011274934, Score, -61.0, PathLength, 182.0,sMostConnectedFirst,Cost, 794.4840062013448, Score, -52.33333333333333, PathLength, 156.0,
hMinimumConnectivity,Cost, 7533.934888748643, Score, 109.16666666666667,sDepthFirstSearchLowCost,Cost, 661.1897215018818, Score, -66.0, PathLength, 197.0,sMostConnectedFirst,Cost, 2468.4382576464373, Score, -152.33333333333334, PathLength, 456.0,
hRandomSet,Cost, 293.006340424816, Score, 44.5,sDepthFirstSearchLowCost,Cost, 513.8261423460026, Score, -47.333333333333336, PathLength, 141.0,sMostConnectedFirst,Cost, 612.1370347972452, Score, -41.66666666666667, PathLength, 124.0,
hMinimumConnectivity,Cost, 14900.412816571348, Score, 123.83333333333333,sDepthFirstSearchLowCost,Cost, 346.17122903334416, Score, -39.0, PathLength, 116.0,sMostConnectedFirst,Cost, 3243.1200051860906, Score, -208.66666666666666, PathLength, 625.0,
hMinimumConnectivity,Cost, 11937.416054894626, Score, 104.00000000000001,sDepthFirstSearchLowCost,Cost, 385.00858340694947, Score, -41.333333333333336, PathLength, 123.0,sMostConnectedFirst,Cost, 2394.580520350088, Score, -166.66666666666669, PathLength, 499.0,
hRandomSet,Cost, 116.22167040857796, Score, 18.166666666666664,sDepthFirstSearchLowCost,Cost, 127.19889737901083, Score, -19.666666666666664, PathLength, 58.0,sMostConnectedFirst,Cost, 253.3942818693078, Score, -16.666666666666664, PathLength, 49.0,
hMinimumConnectivity,Cost, 6115.332925167012, Score, 114.66666666666667,sDepthFirstSearchLowCost,Cost, 630.5334865006303, Score, -55.333333333333336, PathLength, 165.0,sMostConnectedFirst,Cost, 2615.1370083337747, Score, -174.0, PathLength, 521.0,
