[100, [RandomSet,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 9.88918316999368, Score, 110.19108280254777, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 83.5323333357342, Score, -110.19108280254777, PathLength, 172.0,
hRandomSet,Cost, 8.072569230885197, Score, 95.36423841059603, LeastConnectedNodes, 35, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 66.94270256508557, Score, -95.36423841059603, PathLength, 143.0,
hRandomSet,Cost, 54.86665267733702, Score, 219.44444444444446, LeastConnectedNodes, 46, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 158.45274155380915, Score, -219.44444444444446, PathLength, 315.0,
hRandomSet,Cost, 13.188490003853449, Score, 71.7948717948718, LeastConnectedNodes, 36, MostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 56.90284086310527, Score, -71.7948717948718, PathLength, 111.0,
hRandomSet,Cost, 65.21810727105567, Score, 103.33333333333334, LeastConnectedNodes, 47, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 76.11775807810913, Score, -103.33333333333334, PathLength, 154.0,
hRandomSet,Cost, 53.67227861178411, Score, 111.92052980132449, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 83.65253689658832, Score, -111.92052980132449, PathLength, 168.0,
hRandomSet,Cost, 43.84431637092976, Score, 51.006711409395976, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 37.42023323626694, Score, -51.006711409395976, PathLength, 75.0,
hRandomSet,Cost, 9.73772061361186, Score, 128.94736842105263, LeastConnectedNodes, 34, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 107.11022160597109, Score, -128.94736842105263, PathLength, 195.0,
hRandomSet,Cost, 21.57690976614472, Score, 95.23809523809523, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 70.51687932433225, Score, -95.23809523809523, PathLength, 139.0,
hRandomSet,Cost, 17.74754534455171, Score, 150.0, LeastConnectedNodes, 45, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 102.04962688508051, Score, -150.0, PathLength, 218.0,
hRandomSet,Cost, 22.745322368477932, Score, 128.1045751633987, LeastConnectedNodes, 44, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 107.44907956489148, Score, -128.1045751633987, PathLength, 195.0,
hRandomSet,Cost, 22.74170423117606, Score, 37.57961783439491, LeastConnectedNodes, 33, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 31.15383821619423, Score, -37.57961783439491, PathLength, 58.0,
hRandomSet,Cost, 17.165574899381543, Score, 152.66666666666666, LeastConnectedNodes, 40, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 101.83563553845522, Score, -152.66666666666666, PathLength, 228.0,
hRandomSet,Cost, 25.534446501115898, Score, 117.4496644295302, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 79.40079141120769, Score, -117.4496644295302, PathLength, 174.0,
hRandomSet,Cost, 45.15909770473736, Score, 292.89940828402365, LeastConnectedNodes, 25, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 250.12203974890824, Score, -292.89940828402365, PathLength, 494.0,
hRandomSet,Cost, 30.984522202821513, Score, 120.98765432098766, LeastConnectedNodes, 37, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 100.92348803721121, Score, -120.98765432098766, PathLength, 195.0,
hRandomSet,Cost, 28.04584548210631, Score, 125.62500000000001, LeastConnectedNodes, 28, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 102.09177994101455, Score, -125.62500000000001, PathLength, 200.0,
hRandomSet,Cost, 20.661000486730433, Score, 143.38235294117646, LeastConnectedNodes, 47, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 107.27831047631544, Score, -143.38235294117646, PathLength, 194.0,
hRandomSet,Cost, 22.2542454886606, Score, 281.5950920245399, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 238.64533077779834, Score, -281.5950920245399, PathLength, 458.0,
hRandomSet,Cost, 15.394525436848536, Score, 119.85294117647058, LeastConnectedNodes, 50, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 84.31166775226833, Score, -119.85294117647058, PathLength, 162.0,
hRandomSet,Cost, 63.7553212126911, Score, 241.83006535947712, LeastConnectedNodes, 40, MostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 191.34499820037223, Score, -241.83006535947712, PathLength, 369.0,
hRandomSet,Cost, 50.035970920739146, Score, 129.05405405405406, LeastConnectedNodes, 42, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 91.52361709755935, Score, -129.05405405405406, PathLength, 190.0,
hRandomSet,Cost, 21.46691442077939, Score, 157.89473684210526, LeastConnectedNodes, 42, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 121.7350080736213, Score, -157.89473684210526, PathLength, 239.0,
hRandomSet,Cost, 60.72095371622441, Score, 116.12903225806453, LeastConnectedNodes, 33, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 90.17814795305858, Score, -116.12903225806453, PathLength, 179.0,
hRandomSet,Cost, 13.448793725178751, Score, 79.48717948717949, LeastConnectedNodes, 32, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 64.91431972210226, Score, -79.48717948717949, PathLength, 123.0,
hRandomSet,Cost, 14.46340206308081, Score, 258.7412587412588, LeastConnectedNodes, 41, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 187.1308392445866, Score, -258.7412587412588, PathLength, 369.0,
hRandomSet,Cost, 5.679102211254024, Score, 59.74842767295597, LeastConnectedNodes, 34, MostConnectedNodes, 3,sConstrainedRandomWalk,Cost, 44.47586798995549, Score, -59.74842767295597, PathLength, 94.0,
hRandomSet,Cost, 22.08005333990782, Score, 168.49315068493152, LeastConnectedNodes, 44, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 130.93964459449685, Score, -168.49315068493152, PathLength, 245.0,
hRandomSet,Cost, 64.10396133262492, Score, 119.73684210526316, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 97.70090564813415, Score, -119.73684210526316, PathLength, 181.0,
hRandomSet,Cost, 77.50746954175064, Score, 161.68831168831167, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 127.9605030094485, Score, -161.68831168831167, PathLength, 248.0,
hRandomSet,Cost, 64.38386802706428, Score, 82.73381294964028, LeastConnectedNodes, 41, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 58.23098484993719, Score, -82.73381294964028, PathLength, 114.0,
hRandomSet,Cost, 17.253042880736633, Score, 138.46153846153845, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 116.5159735447967, Score, -138.46153846153845, PathLength, 215.0,
hRandomSet,Cost, 31.793364058669546, Score, 197.35099337748346, LeastConnectedNodes, 32, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 153.5970631397169, Score, -197.35099337748346, PathLength, 297.0,
hRandomSet,Cost, 155.83651566741045, Score, 125.503355704698, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 93.13225411839677, Score, -125.503355704698, PathLength, 186.0,
hRandomSet,Cost, 96.64468098095286, Score, 145.0, LeastConnectedNodes, 47, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 99.15031054751202, Score, -145.0, PathLength, 202.0,
hRandomSet,Cost, 71.99471446694213, Score, 169.33333333333334, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 116.12106247993638, Score, -169.33333333333334, PathLength, 253.0,
hRandomSet,Cost, 27.461617353461854, Score, 313.24503311258275, LeastConnectedNodes, 33, MostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 217.62925759195358, Score, -313.24503311258275, PathLength, 472.0,
hRandomSet,Cost, 134.22450323306762, Score, 157.05128205128204, LeastConnectedNodes, 44, MostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 108.18456903117148, Score, -157.05128205128204, PathLength, 244.0,
hRandomSet,Cost, 110.26409927851422, Score, 49.685534591194966, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 36.991573705975625, Score, -49.685534591194966, PathLength, 78.0,
hRandomSet,Cost, 57.484155840998156, Score, 108.0, LeastConnectedNodes, 34, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 86.18612713302619, Score, -108.0, PathLength, 161.0,
