[100, [RandomSet,1][MinimumConnectivity,1][MaxDistance,1][Random,1][RandomDirection,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomFixedDistance,Cost, 47.82096358219599, Score, 31.413333333333334,sConstrainedRandomWalk,Cost, 469.8610920995702, Score, -31.413333333333334, PathLength, 93.0,
hLowEdgeCostRandomFixedDistance,Cost, 25.444226861940397, Score, 29.986666666666665,sConstrainedRandomWalk,Cost, 450.8701435978739, Score, -29.986666666666665, PathLength, 88.0,
hRandomSet,Cost, 43.213050586825474, Score, 41.63333333333334,sConstrainedRandomWalk,Cost, 593.8754069799926, Score, -41.63333333333334, PathLength, 123.0,
hMinimumConnectivity,Cost, 11112.448481016716, Score, 93.74000000000002, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 3, DegreeOfMostConnectedNodes, 13, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1362.0829225126365, Score, -93.74000000000002, PathLength, 280.0,
hMaxDistance,Cost, 383.6874115117212, Score, 39.36, GraphDiameter, 5.0,sConstrainedRandomWalk,Cost, 566.6691578262478, Score, -39.36, PathLength, 117.0,
hRandom,Cost, 44.71356697458691, Score, 32.633333333333354,sConstrainedRandomWalk,Cost, 467.17558594239694, Score, -32.633333333333354, PathLength, 96.0,
hRandomDirection,Cost, 19.733036094190467, Score, 31.67333333333332,sConstrainedRandomWalk,Cost, 452.44266152917453, Score, -31.67333333333332, PathLength, 94.0,
hRandomFixedDistance,Cost, 93.04378499775132, Score, 32.50000000000001,sConstrainedRandomWalk,Cost, 466.70329412727847, Score, -32.50000000000001, PathLength, 96.0,
hLowEdgeCostRandomFixedDistance,Cost, 42.5788526184525, Score, 31.97666666666666,sConstrainedRandomWalk,Cost, 460.86032409226084, Score, -31.97666666666666, PathLength, 94.0,
hRandomSet,Cost, 40.040100496233464, Score, 34.85999999999999,sConstrainedRandomWalk,Cost, 508.736871664574, Score, -34.85999999999999, PathLength, 103.0,
hMinimumConnectivity,Cost, 13520.323650154052, Score, 80.0933333333333, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 2, DegreeOfMostConnectedNodes, 13, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1182.6341094274892, Score, -80.0933333333333, PathLength, 239.0,
hMaxDistance,Cost, 2080.243449953437, Score, 34.53666666666666, GraphDiameter, 7.0,sConstrainedRandomWalk,Cost, 510.10878757956084, Score, -34.53666666666666, PathLength, 102.0,
hRandom,Cost, 47.56367121486079, Score, 31.803333333333345,sConstrainedRandomWalk,Cost, 463.1672012692871, Score, -31.803333333333345, PathLength, 94.0,
hRandomDirection,Cost, 19.387652564756074, Score, 32.68000000000001,sConstrainedRandomWalk,Cost, 475.1585747245828, Score, -32.68000000000001, PathLength, 97.0,
hRandomFixedDistance,Cost, 19.043267597475417, Score, 31.17,sConstrainedRandomWalk,Cost, 458.23864005850885, Score, -31.17, PathLength, 92.0,
hLowEdgeCostRandomFixedDistance,Cost, 49.58910515429592, Score, 30.09333333333332,sConstrainedRandomWalk,Cost, 436.99773860577193, Score, -30.09333333333332, PathLength, 89.0,
hRandomSet,Cost, 43.35631664590333, Score, 34.660000000000004,sConstrainedRandomWalk,Cost, 529.5654565909813, Score, -34.660000000000004, PathLength, 102.0,
