[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 12.39641084912298, Score, 38.563333333333325,sConstrainedRandomWalk,Cost, 59.5755529145557, Score, -38.563333333333325, PathLength, 114.0,
hRandomDirection,Cost, 6.214260893684733, Score, 39.08999999999999,sConstrainedRandomWalk,Cost, 60.038755675156146, Score, -39.08999999999999, PathLength, 116.0,
hRandomSet,Cost, 10.132861063699048, Score, 43.66666666666665,sConstrainedRandomWalk,Cost, 67.6248444481201, Score, -43.66666666666665, PathLength, 130.0,
hRandomFixedDistance,Cost, 12.774597292710878, Score, 40.36333333333332,sConstrainedRandomWalk,Cost, 62.47443490850556, Score, -40.36333333333332, PathLength, 120.0,
hLowEdgeCostRandomFixedDistance,Cost, 4.284782327596835, Score, 40.260000000000005,sConstrainedRandomWalk,Cost, 61.76359829785923, Score, -40.260000000000005, PathLength, 119.0,
hMinimumConnectivity,Cost, 3542.1999783892284, Score, 63.29666666666666,sConstrainedRandomWalk,Cost, 98.85607088054849, Score, -63.29666666666666, PathLength, 188.0,
hMaxDistance,Cost, 693.0778241527581, Score, 41.86333333333333,sConstrainedRandomWalk,Cost, 65.06693315346051, Score, -41.86333333333333, PathLength, 124.0,
hRandom,Cost, 12.952497283759485, Score, 39.703333333333326,sConstrainedRandomWalk,Cost, 57.33894760763491, Score, -39.703333333333326, PathLength, 118.0,
hRandomDirection,Cost, 6.281004523259627, Score, 38.88666666666666,sConstrainedRandomWalk,Cost, 55.88013331942264, Score, -38.88666666666666, PathLength, 115.0,
hRandomSet,Cost, 11.591890619343106, Score, 43.62666666666666,sConstrainedRandomWalk,Cost, 63.549504827775394, Score, -43.62666666666666, PathLength, 129.0,
hRandomFixedDistance,Cost, 47.50935350318615, Score, 41.38666666666667,sConstrainedRandomWalk,Cost, 60.39858682869034, Score, -41.38666666666667, PathLength, 123.0,
hLowEdgeCostRandomFixedDistance,Cost, 54.75748111336998, Score, 44.77333333333334,sConstrainedRandomWalk,Cost, 65.23259152798003, Score, -44.77333333333334, PathLength, 133.0,
hMinimumConnectivity,Cost, 4995.655145451939, Score, 55.490000000000016,sConstrainedRandomWalk,Cost, 81.08098107132508, Score, -55.490000000000016, PathLength, 165.0,
hMaxDistance,Cost, 667.0932316307627, Score, 40.60666666666668,sConstrainedRandomWalk,Cost, 59.03453085925567, Score, -40.60666666666668, PathLength, 120.0,
