[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][OptimalBacktrackPath,1][BacktrackPath,1][LowEdgeCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 43.084550552372995, Score, 37.685333333333354,sConstrainedRandomWalk,Cost, 493.71457066705955, Score, -33.71333333333334, PathLength, 100.0,sDepthFirstSearchLowCost,Cost, 324.9384239548033, Score, -34.84666666666667, PathLength, 103.0,sOptimalBacktrackPath,Cost, 313.0921713904235, Score, -33.53333333333333, PathLength, 99.0,sBacktrackPath,Cost, 465.808397872539, Score, -51.30000000000001, PathLength, 152.0,sLowEdgeCost,Cost, 332.3427997943082, Score, -35.033333333333324, PathLength, 104.0,
hRandomSet,Cost, 45.990346395891386, Score, 45.47266666666666,sConstrainedRandomWalk,Cost, 663.1672605189743, Score, -44.19666666666667, PathLength, 131.0,sDepthFirstSearchLowCost,Cost, 357.89624517460754, Score, -37.28999999999999, PathLength, 110.0,sOptimalBacktrackPath,Cost, 427.56496821541157, Score, -40.536666666666655, PathLength, 120.0,sBacktrackPath,Cost, 585.2679219578172, Score, -61.54333333333336, PathLength, 183.0,sLowEdgeCost,Cost, 479.9833742258509, Score, -43.79666666666666, PathLength, 130.0,
hRandomSet,Cost, 42.86655059145207, Score, 38.49066666666668,sConstrainedRandomWalk,Cost, 550.4552424893972, Score, -37.559999999999995, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 286.2667022823263, Score, -33.510000000000005, PathLength, 99.0,sOptimalBacktrackPath,Cost, 331.6113600320305, Score, -35.75666666666667, PathLength, 106.0,sBacktrackPath,Cost, 419.4946466826506, Score, -48.76666666666666, PathLength, 145.0,sLowEdgeCost,Cost, 349.6186387576724, Score, -36.86000000000001, PathLength, 109.0,
hRandomSet,Cost, 49.41278819071549, Score, 41.734666666666655,sConstrainedRandomWalk,Cost, 533.7646301355425, Score, -35.20000000000001, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 314.92118942828154, Score, -33.85666666666667, PathLength, 100.0,sOptimalBacktrackPath,Cost, 388.41758529700434, Score, -38.270000000000024, PathLength, 113.0,sBacktrackPath,Cost, 628.9440986840091, Score, -64.62, PathLength, 192.0,sLowEdgeCost,Cost, 368.0762833095625, Score, -36.72666666666668, PathLength, 109.0,
hRandomSet,Cost, 47.06172991485205, Score, 38.72066666666667,sConstrainedRandomWalk,Cost, 542.707269064741, Score, -35.91666666666666, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 321.0489201856768, Score, -34.676666666666655, PathLength, 103.0,sOptimalBacktrackPath,Cost, 379.06162944446123, Score, -37.269999999999996, PathLength, 110.0,sBacktrackPath,Cost, 437.6609545209721, Score, -44.53666666666667, PathLength, 132.0,sLowEdgeCost,Cost, 442.9697300637053, Score, -41.20333333333332, PathLength, 122.0,
hRandomSet,Cost, 45.148683695492764, Score, 42.63866666666666,sConstrainedRandomWalk,Cost, 551.9785000318724, Score, -37.173333333333325, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 336.91654550423357, Score, -35.440000000000005, PathLength, 105.0,sOptimalBacktrackPath,Cost, 408.6189856458388, Score, -39.31000000000001, PathLength, 116.0,sBacktrackPath,Cost, 621.6384226246512, Score, -62.76333333333333, PathLength, 187.0,sLowEdgeCost,Cost, 394.62159419393544, Score, -38.50666666666666, PathLength, 114.0,
hRandomSet,Cost, 42.351754809237974, Score, 47.146,sConstrainedRandomWalk,Cost, 553.7765216569525, Score, -36.050000000000004, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 334.71169655763543, Score, -35.27333333333334, PathLength, 104.0,sOptimalBacktrackPath,Cost, 465.28258367616354, Score, -43.05, PathLength, 128.0,sBacktrackPath,Cost, 835.1242816370328, Score, -81.02666666666666, PathLength, 242.0,sLowEdgeCost,Cost, 434.77689101713, Score, -40.33, PathLength, 119.0,
hRandomSet,Cost, 46.40328039684918, Score, 46.26599999999999,sConstrainedRandomWalk,Cost, 587.7187489274751, Score, -39.083333333333336, PathLength, 116.0,sDepthFirstSearchLowCost,Cost, 315.0207281290078, Score, -33.490000000000016, PathLength, 99.0,sOptimalBacktrackPath,Cost, 436.75714482926327, Score, -41.08, PathLength, 122.0,sBacktrackPath,Cost, 809.3125028789249, Score, -81.71333333333332, PathLength, 244.0,sLowEdgeCost,Cost, 365.5269363239111, Score, -35.963333333333324, PathLength, 106.0,
hRandomSet,Cost, 47.816376979897086, Score, 48.62000000000001,sConstrainedRandomWalk,Cost, 564.7658603625615, Score, -37.896666666666654, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 345.0379186060197, Score, -36.16333333333334, PathLength, 107.0,sOptimalBacktrackPath,Cost, 536.244007258933, Score, -47.470000000000006, PathLength, 141.0,sBacktrackPath,Cost, 788.0111588739856, Score, -73.93666666666667, PathLength, 220.0,sLowEdgeCost,Cost, 532.5286128408942, Score, -47.63333333333332, PathLength, 141.0,
hRandomSet,Cost, 42.330280184327165, Score, 42.472666666666655,sConstrainedRandomWalk,Cost, 557.2312908521675, Score, -39.13666666666666, PathLength, 116.0,sDepthFirstSearchLowCost,Cost, 257.4722684171038, Score, -32.893333333333345, PathLength, 97.0,sOptimalBacktrackPath,Cost, 329.26318191013166, Score, -36.57000000000001, PathLength, 108.0,sBacktrackPath,Cost, 591.8504041577785, Score, -68.64333333333336, PathLength, 204.0,sLowEdgeCost,Cost, 305.7434210278969, Score, -35.12, PathLength, 104.0,
