[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][VariableFixedDistance,1][LowEdgeCostVariableFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1][RandomVariableHidePotential,1], [DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}]
hRandom,Cost, 46.6447009247246, Score, 32.41666666666665,sDepthFirstSearchLowCost,Cost, 349.8973587789736, Score, -32.41666666666665, PathLength, 96.0,
hRandomDirection,Cost, 21.888793680397324, Score, 34.05333333333334,sDepthFirstSearchLowCost,Cost, 370.6361576850653, Score, -34.05333333333334, PathLength, 101.0,
hRandomSet,Cost, 48.75218696861745, Score, 36.37,sDepthFirstSearchLowCost,Cost, 407.1734824940097, Score, -36.37, PathLength, 108.0,
hRandomFixedDistance,Cost, 128.4388411074712, Score, 33.89000000000001,sDepthFirstSearchLowCost,Cost, 365.32938167890376, Score, -33.89000000000001, PathLength, 100.0,
hLowEdgeCostRandomFixedDistance,Cost, 34.057376540530804, Score, 16.71666666666667,sDepthFirstSearchLowCost,Cost, 133.9170404030199, Score, -16.71666666666667, PathLength, 49.0,
hVariableFixedDistance,Cost, 372.626163617969, Score, 35.24333333333333,sDepthFirstSearchLowCost,Cost, 389.3701906926101, Score, -35.24333333333333, PathLength, 104.0,
hLowEdgeCostVariableFixedDistance,Cost, 191.88709691884478, Score, 30.01,sDepthFirstSearchLowCost,Cost, 303.6420481817029, Score, -30.01, PathLength, 89.0,
hMinimumConnectivity,Cost, 20996.5720947216, Score, 61.926666666666634,sDepthFirstSearchLowCost,Cost, 722.1453195031028, Score, -61.926666666666634, PathLength, 184.0,
hMaxDistance,Cost, 119.42795447160013, Score, 33.61666666666667,sDepthFirstSearchLowCost,Cost, 367.6592531952561, Score, -33.61666666666667, PathLength, 99.0,
hRandomVariableHidePotential,Cost, 175.22916559231743, Score, 33.04000000000001,sDepthFirstSearchLowCost,Cost, 358.0882515202881, Score, -33.04000000000001, PathLength, 98.0,
