[100, [Random,1][RandomVariableHidePotential,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][VariableFixedDistance,1][LowEdgeCostVariableFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}]
hLowEdgeCostRandomFixedDistance,Cost, 72.40099325029541, Score, 22.02666666666667,sDepthFirstSearchLowCost,Cost, 160.89304402816637, Score, -22.02666666666667, PathLength, 65.0,
hVariableFixedDistance,Cost, 248.61097983753888, Score, 33.11,sDepthFirstSearchLowCost,Cost, 302.48004441801027, Score, -33.11, PathLength, 98.0,
hLowEdgeCostVariableFixedDistance,Cost, 97.29557351557138, Score, 24.906666666666666,sDepthFirstSearchLowCost,Cost, 194.5098852841931, Score, -24.906666666666666, PathLength, 73.0,
hMinimumConnectivity,Cost, 944.8492376941256, Score, 58.28333333333333,sDepthFirstSearchLowCost,Cost, 619.4846638795931, Score, -58.28333333333333, PathLength, 173.0,
hMaxDistance,Cost, 2066.721465893265, Score, 32.270000000000024,sDepthFirstSearchLowCost,Cost, 295.34599753718305, Score, -32.270000000000024, PathLength, 95.0,
hRandom,Cost, 46.82503892954697, Score, 32.35666666666667,sDepthFirstSearchLowCost,Cost, 280.2975058582644, Score, -32.35666666666667, PathLength, 96.0,
hRandomVariableHidePotential,Cost, 211.15404546254612, Score, 32.87000000000001,sDepthFirstSearchLowCost,Cost, 289.953185066917, Score, -32.87000000000001, PathLength, 97.0,
hRandomDirection,Cost, 20.181034100642762, Score, 29.226666666666667,sDepthFirstSearchLowCost,Cost, 245.74276446691863, Score, -29.226666666666667, PathLength, 86.0,
hRandomSet,Cost, 43.29119616221454, Score, 34.623333333333335,sDepthFirstSearchLowCost,Cost, 309.507972898386, Score, -34.623333333333335, PathLength, 102.0,
hRandomFixedDistance,Cost, 123.4079808836417, Score, 30.660000000000014,sDepthFirstSearchLowCost,Cost, 259.74441522555526, Score, -30.660000000000014, PathLength, 90.0,
hLowEdgeCostRandomFixedDistance,Cost, 47.78421029782566, Score, 21.646666666666665,sDepthFirstSearchLowCost,Cost, 160.7537264684401, Score, -21.646666666666665, PathLength, 63.0,
hVariableFixedDistance,Cost, 275.5652449438226, Score, 31.733333333333338,sDepthFirstSearchLowCost,Cost, 273.2853167410151, Score, -31.733333333333338, PathLength, 94.0,
hLowEdgeCostVariableFixedDistance,Cost, 121.99989059226604, Score, 23.636666666666667,sDepthFirstSearchLowCost,Cost, 180.14385890394092, Score, -23.636666666666667, PathLength, 69.0,
hMinimumConnectivity,Cost, 4773.258076995467, Score, 38.036666666666676,sDepthFirstSearchLowCost,Cost, 352.18844110325995, Score, -38.036666666666676, PathLength, 113.0,
hMaxDistance,Cost, 19.6899469697305, Score, 28.776666666666674,sDepthFirstSearchLowCost,Cost, 238.5936433430097, Score, -28.776666666666674, PathLength, 85.0,
hRandom,Cost, 43.217240527608126, Score, 31.86000000000001,sDepthFirstSearchLowCost,Cost, 272.76894621705645, Score, -31.86000000000001, PathLength, 94.0,
hRandomVariableHidePotential,Cost, 200.2572149882968, Score, 32.75333333333334,sDepthFirstSearchLowCost,Cost, 282.8478169823061, Score, -32.75333333333334, PathLength, 97.0,
hRandomDirection,Cost, 20.49094338136435, Score, 31.426666666666687,sDepthFirstSearchLowCost,Cost, 266.9357896221543, Score, -31.426666666666687, PathLength, 93.0,
hRandomSet,Cost, 44.31109148355982, Score, 35.23,sDepthFirstSearchLowCost,Cost, 313.2847490524063, Score, -35.23, PathLength, 104.0,
hRandomFixedDistance,Cost, 220.40179961873383, Score, 32.593333333333334,sDepthFirstSearchLowCost,Cost, 282.78294720451925, Score, -32.593333333333334, PathLength, 96.0,
hLowEdgeCostRandomFixedDistance,Cost, 6.511344854241263, Score, 22.533333333333335,sDepthFirstSearchLowCost,Cost, 181.3897585419082, Score, -22.533333333333335, PathLength, 66.0,
hVariableFixedDistance,Cost, 296.58799598223436, Score, 31.483333333333334,sDepthFirstSearchLowCost,Cost, 267.9686590032245, Score, -31.483333333333334, PathLength, 93.0,
hLowEdgeCostVariableFixedDistance,Cost, 139.25640810739205, Score, 25.18666666666667,sDepthFirstSearchLowCost,Cost, 194.53821795703186, Score, -25.18666666666667, PathLength, 74.0,
hMinimumConnectivity,Cost, 675.2526393912088, Score, 57.07666666666668,sDepthFirstSearchLowCost,Cost, 555.6766128066165, Score, -57.07666666666668, PathLength, 170.0,
hMaxDistance,Cost, 20.00519715334104, Score, 31.23666666666668,sDepthFirstSearchLowCost,Cost, 265.9235745775561, Score, -31.23666666666668, PathLength, 92.0,
hRandom,Cost, 44.96689660823504, Score, 30.723333333333336,sDepthFirstSearchLowCost,Cost, 273.0967751699217, Score, -30.723333333333336, PathLength, 91.0,
hRandomVariableHidePotential,Cost, 196.08311523048917, Score, 30.250000000000004,sDepthFirstSearchLowCost,Cost, 269.8456522576384, Score, -30.250000000000004, PathLength, 89.0,
hRandomDirection,Cost, 20.545473085629105, Score, 29.113333333333326,sDepthFirstSearchLowCost,Cost, 256.03557171808774, Score, -29.113333333333326, PathLength, 86.0,
hRandomSet,Cost, 44.65329459291697, Score, 31.350000000000012,sDepthFirstSearchLowCost,Cost, 282.6482460759431, Score, -31.350000000000012, PathLength, 93.0,
hRandomFixedDistance,Cost, 97.91006636756394, Score, 31.706666666666678,sDepthFirstSearchLowCost,Cost, 286.9975435848911, Score, -31.706666666666678, PathLength, 94.0,
hLowEdgeCostRandomFixedDistance,Cost, 53.65811114522375, Score, 19.316666666666666,sDepthFirstSearchLowCost,Cost, 142.11060806671526, Score, -19.316666666666666, PathLength, 56.0,
hVariableFixedDistance,Cost, 332.8405874840586, Score, 31.43666666666666,sDepthFirstSearchLowCost,Cost, 284.2827386834668, Score, -31.43666666666666, PathLength, 93.0,
hLowEdgeCostVariableFixedDistance,Cost, 152.84060723495062, Score, 27.553333333333335,sDepthFirstSearchLowCost,Cost, 234.6831942289722, Score, -27.553333333333335, PathLength, 81.0,
